,,,,,,,,,,,,,,,,,
A4177,3122,3955,1742,2170,1070,1098,589,589,0,0,0,0,0,0,0,0,0
A4178,4559,4872,2196,2432,1252,1330,480,480,0,0,0,0,0,0,0,0,
A4179,4879,5640,2455,2800,1373,1406,867,867,0,0,0,0,0,0,0,0,
A4180,4037,4484,1989,2182,1188,1271,650,658,0,0,0,0,0,0,0,0,
A4181,2748,3653,1870,2081,960,1055,677,677,0,0,0,0,0,0,0,0,
A4182,5159,6199,2846,3565,1461,1662,876,986,0,0,0,0,0,0,0,0,
A4183,5157,6437,3046,3449,1494,1639,873,931,0,0,0,0,0,0,0,0,
A4184,3880,4703,2622,3468,1423,1676,865,952,0,0,0,0,0,0,0,0,
A4185,3722,5661,2868,3553,1232,1742,974,991,0,0,0,0,0,0,0,0,
A4186,1597,3380,1156,1920,858,1297,694,752,0,0,0,0,0,0,0,0,
A4187,3036,4930,2632,3221,1303,1597,912,982,0,0,0,0,0,0,0,0,
A4188,3520,4151,1373,1943,857,1087,408,461,0,0,0,0,0,0,0,0,
A4189,3061,3827,1241,1605,638,793,338,344,166,166,0,0,0,0,0,0,
A4190,1385,2162,306,869,332,527,185,289,0,0,163,163,0,0,0,0,
A4191,1912,2613,945,1132,299,613,314,348,0,0,0,0,0,0,0,0,
A4192,2819,4075,1818,2079,984,1089,466,505,0,0,0,0,0,0,0,0,
A4193,1976,2881,896,1189,349,678,306,347,0,0,0,0,0,0,0,0,
A4194,3159,3845,1464,1740,685,931,431,463,104,104,0,0,0,0,0,0,
A4195,3678,4436,1205,1899,604,942,301,309,0,0,0,0,0,0,0,0,
A4196,2989,4680,1823,2025,463,954,330,407,0,0,0,0,0,0,0,0,
A4197,4187,6214,2261,2662,1183,1602,625,727,0,0,0,0,0,0,0,0,
A4198,1022,2327,732,1049,231,490,217,255,0,0,0,0,0,0,0,0,
A4199,1547,4361,2149,2528,1099,1253,730,765,0,0,0,0,0,0,0,0,
A4200,1197,1951,483,1147,359,598,246,325,111,111,164,164,0,0,0,0,
A4201,544,2312,575,999,363,451,106,167,24,75,142,142,0,0,0,0,
A4202,98,280,54,176,59,99,80,120,3,14,0,0,17,17,0,0,
A4203,293,590,141,317,44,194,34,104,25,30,55,55,41,41,0,0,
A4204,2286,3507,654,2058,807,1155,381,662,0,0,0,0,0,0,0,0,
A4205,405,891,196,405,49,236,25,107,37,43,59,59,0,0,0,0,
A4206,3502,5850,2217,2973,1387,1491,732,842,0,0,0,0,0,0,0,0,
A4207,1865,3999,1676,2581,825,1477,498,644,0,0,0,0,0,0,0,0,
A4208,1203,2781,1300,2011,853,1201,552,817,0,0,0,0,0,0,0,0,
A4209,1917,3377,1302,2437,84,1457,618,851,153,153,0,0,0,0,0,0,
A4210,1307,2195,426,1115,204,493,131,159,0,0,0,0,0,0,0,0,
A4211,1016,2101,498,1193,544,754,253,341,79,79,0,0,0,0,0,0,
A4212,1103,2255,423,1057,335,540,109,154,0,0,0,0,0,0,0,0,
A4213,103,240,50,99,26,50,18,45,0,0,0,0,0,0,0,0,
A4214,100,539,60,201,28,172,32,99,0,0,0,0,0,0,0,0,
A4215,841,1908,1236,1499,538,779,478,540,0,0,0,0,0,0,0,0,
A4216,193,894,107,336,12,200,65,112,8,8,92,108,0,0,0,0,
A4217,1709,3310,1166,1729,587,904,508,621,0,0,0,0,0,0,0,0,
A4218,2418,3778,897,1686,507,894,150,395,0,0,0,0,0,0,0,0,
A4219,2273,2583,482,1249,546,546,351,351,13,13,0,0,0,0,0,0,
A4220,1703,2578,1364,1375,664,664,367,367,96,96,0,0,0,0,0,0,
A4221,1512,4947,1777,2704,1142,1420,622,858,66,66,0,0,0,0,0,0,
A4222,2133,2571,1204,1370,737,820,370,370,0,0,0,0,0,0,0,0,
A4223,2678,2815,1433,1435,651,651,0,0,128,128,0,0,0,0,0,0,
A4224,2175,2769,1131,1350,581,603,305,305,0,0,0,0,0,0,0,0,
A4225,2896,2972,1318,1432,589,626,334,334,125,125,0,0,0,0,0,0,
A4226,291,548,293,398,177,271,133,184,0,0,0,0,0,0,0,0,
A4227,548,982,319,540,208,471,178,290,0,0,122,122,0,0,0,0,
A4228,1001,1122,597,628,522,565,0,0,78,78,0,0,0,0,0,0,
A4229,1394,2814,900,1487,509,972,368,385,0,0,0,0,0,0,0,0,
A4230,3014,3424,1731,1861,983,1038,666,666,0,0,0,0,0,0,0,0,
A4231,1187,1350,647,760,479,553,265,300,0,0,0,0,0,0,0,0,
A4232,904,1176,381,581,305,477,321,322,0,0,0,0,0,0,0,0,
A4233,924,1208,511,618,220,379,132,297,72,72,0,0,0,0,0,0,
A4234,3547,3915,1896,1925,928,986,637,637,0,0,0,0,0,0,0,0,
A4235,3791,4055,1343,1987,897,1047,0,0,0,0,0,0,0,0,0,0,
A4236,3794,4184,1762,1885,861,861,655,655,0,0,0,0,0,0,0,0,
